Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price
2010,72000,26.6,998,58.16,5,1.75
2015,41000,23.14117647,1582,126.2,5,12.5
2011,46000,24.26666667,1199,88.7,5,4.5
2012,87000,24.43529412,1248,88.76,7,6
2013,40670,17.88235294,1968,140.8,5,17.74
2012,75000,21.1,814,55.2,5,2.35
2013,86999,27.15294118,1461,63.1,5,3.5
2016,36000,13.36470588,2755,171.5,8,17.5
2013,64430,24.16470588,1598,103.6,5,5.2
2012,65932,26.23529412,1248,74,5,1.95
2018,25692,28.74666667,1462,103.25,5,9.95
2012,60000,22.4,1497,116.3,5,4.49
2015,64424,29.64705882,1248,74,5,5.6
2014,72000,14.94117647,2179,187.7,5,27
2012,85000,,2179,115,5,17.5
2014,110000,15.88235294,2477,175.56,7,15
2016,58950,30.35294118,1498,98.6,5,5.4
2017,25000,33.41176471,1248,74,5,5.99
2014,77469,24.05882353,1461,83.8,5,6.34
2014,78500,17.45882353,2143,167.62,5,28
2014,32982,26.69411765,1995,190,5,18.55
2015,55392,27.82352941,1248,88.5,5,8.25
2015,55985,18.04,1984,177.01,5,23.5
2010,45807,24.66666667,1197,80,5,1.87
2010,33000,19.2,1598,103.6,5,2.85
2012,51920,22.4,1497,116.3,5,4.25
2012,54000,27.15294118,1461,63.1,5,4.25
2013,54000,27.89333333,998,67.1,5,2.75
2018,37430,23.33333333,1199,88.7,5,9.9
2007,262000,15.05882353,2494,102,7,4
2013,62000,22.36470588,1461,108.45,5,7.75
2012,87615,19.37333333,1798,138.1,5,6.75
2013,72000,13.15294118,2696,184,7,12.5
2010,35000,14.58823529,2698,179.5,5,11.5
2014,55431,21.45333333,1598,103.5,5,6.98
2009,83816,18.66666667,1061,64,5,1.85
2018,50075,28.58823529,1248,88.5,5,8.63
2017,52000,24.2,1198,82,5,4.85
2013,85000,13.81176471,2987,254.8,5,28
2013,62000,25.96470588,1199,73.9,5,5
2008,90000,26.26666667,796,46.3,5,1.25
2014,19698,33.86666667,624,37.5,4,1.53
2017,22033,29.78823529,1198,77,6,5.58
2014,35487,24.66666667,1197,82.9,5,4.74
2014,46374,19.49333333,1999,149.92,5,8.85
2016,52001,19.04,1798,138.03,5,10.11
2008,58005,17.52941176,1991,112.2,5,4.25
2012,70704,15,2694,163.7,7,10.95
2014,75000,28.70588235,1120,71,5,3.85
2012,75800,19.47058824,2498,105,6,5.5
2015,13648,20.12941176,1968,174.33,5,21.43
2014,52000,26.94117647,1248,74,5,4.25
2014,53000,20.94117647,1248,75,5,3.3
2013,65650,33.41176471,1248,74,5,3.85
2015,54000,25.2,1197,82,5,3.6
2015,39000,20.05333333,1598,103.2,5,3.99
2017,16542,33.56,799,53.3,5,3.3
2010,32000,27.14666667,1197,78.9,5,2.07
2010,121812,15.63529412,1995,147.6,5,7.75
2010,39300,24.26666667,998,67.1,5,2.25
2017,22000,16.09411765,2393,147.8,8,16.5
2010,72000,23.52941176,1399,68,5,2.75
2015,58000,15.65333333,1796,186,5,26.7
2011,65000,18.58823529,2148,170,5,10
2016,178000,29.41176471,1396,69,5,2.5
2012,65664,19.47058824,1968,140,5,13.5
2007,63000,21.86666667,1497,78,5,1.85
2019,15369,,1950,194,5,35.67
2016,63000,28.84705882,1248,88.5,7,8.15
2018,13000,26,1396,88.7,5,10.5
2008,73000,11.33333333,4806,500,5,14.5
2015,55729,17.76470588,2179,140,7,9.65
2012,45178,22.6,1197,78.9,5,3.48
2015,56066,23.10588235,1461,108.5,5,6.92
2016,37300,22,1198,86.8,5,6.46
2014,56000,21.8,1968,187.74,5,29.5
2008,111111,20.94117647,1399,,5,2
2006,230000,16.53333333,1998,132,8,4.5
2012,104000,15.05882353,2494,102,7,11.75
2005,87591,,1086,,5,1.3
2012,95100,26.94117647,1248,74,5,3.75
2017,70000,23.42666667,1193,88.7,5,4.5
2016,54944,24,1198,86.7,5,4.82
2012,70337,23.52941176,1399,68,5,2.8
2013,99638,27.29411765,1248,73.94,5,3.11
2009,52000,23.73333333,1497,117.3,5,3.25
2011,75000,19.68235294,1995,218,5,13.9
2009,95980,27.14666667,1197,78.9,5,2.25
2016,16000,25.2,1197,82,5,5.75
